Headline,Body
Biden apologises for delay in Ukraine military aid,The US president also made a speech defending democracy at the site where US rangers stormed a Nazi stronghold on D-Day.
Refugees sent to Rwanda from remote UK island speak to BBC,"The migrants, who the UN says are refugees, say they feel isolated and unsafe in the African country."
,
"Cocaine found on Hunter Biden gun pouch, court hears","An FBI chemist testifies that he cannot be sure how the cocaine got there, or who it belonged to."
The right could win big in Europe – thanks to young people,"With the voting age lowered to 16 in some parts of the EU, politicians are targeting the youth vote."
,
CCTV appears to show Michael Mosley after leaving beach,The 67-year-old went missing on Wednesday after going for a walk on the Greek island of Symi.
Sunak D-Day absence an extraordinary own goal from the Conservatives,Rishi Sunak’s decision to leave the most poignant event in Europe early was always likely to be spotted.
BBC election debate: Leading figures from seven parties prepare to face each other,We’re live in the spin room in the build-up to tonight’s event moderated by Mishal Husain.
"'My 17-year-old was brutally killed, but I'm glad she fought for freedom'",The BBC hears allegations of rape and torture by Myanmar's military in Chin State.
US urges Israel to be transparent over Gaza school strike,"As she launches the UK leg of her Eras tour, we look at how Taylor Swift became pop's biggest star."
US jobs surge casts doubt over interest rate cuts,Dozens of people are reported to have been killed in the strike which Israel says targeted Hamas.
Kagame critic barred from Rwanda's presidential race,
Tyson-Paul bout rescheduled for 15 November in USA,The R1 is the latest attempt to build AI-powered hardware that challenges our smartphone addiction.
Woman sues Netflix over Baby Reindeer character,"Jensen Huang is at the forefront of an AI boom, which coincides with Nvidia's rise as a leading chip firm."
Features and analysis,
Why is Taylor Swift so big? 'She wants it more than anyone',Test how closely you have been paying attention to what has been going on over the past seven days.
Witnesses tell of 'unimaginable' Gaza shelter air strike,Witnesses tell the BBC the Myanmar army tortured and killed dozens of men in a village in Rakhine State.
,"AI in adult entertainment could have negative effects on society and individuals, experts say."
Down the Rabbit hole: Pocket-sized AI gadget put to the test,"Known for his TV programmes and his Just One Thing podcast which airs on BBC Radio 4, the presenter was last seen on Wednesday."
Why is Nvidia boss the 'Taylor Swift of tech'?,A selection of the week's best photos from across the African continent.
,
Weekly quiz: Which runaway horse will wish the King a happy birthday?,Ukraine’s president hugged the World War Two soldier at a ceremony to mark the 80th anniversary of D-Day.
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBC",
Concern rises over AI in adult entertainment,Why the USA's shock victory over Pakistan in the men's T20 World Cup could be huge for the sport stateside.
Most watched,Researchers use the device to take remote biopsies from wild humpback whales to monitor their health.
Astronauts in Boeing capsule arrive at space station,A hiker posted a video showing the water flow of the fall was coming from a pipe built into the rock face.
"Choking during sex led to real violence, woman says",Follow live text and listen to commentary from day 13 of the French Open at Roland Garros.
On the coastal path near where Michael Mosley was last seen,Watch live coverage of the European Athletics Championships from Rome.
'Wanna feed the giraffe?' Moment toddler grabbed from truck,
Starmer: Sunak has to answer for his own actions,German tennis player Alexander Zverev’s trial over domestic abuse allegations made by his former girlfriend is discontinued.
Also in news,Britain's Alfie Hewett and Gordon Reid reach their fifth straight wheelchair doubles final at the French Open.
On the coastal path near where Michael Mosley was last seen,
'Lion' pouts and baptisms: Africa's top shots,"Ireland face Canada in the Men's T20 World Cup 2024 in New York - follow text updates, radio commentary and video highlights"
,"The rescheduled bout between Jake Paul and Mike Tyson will take place on 15 November, with Katie Taylor fighting Amanda Serrano."
Zelensky and D-Day veteran call each other 'hero',"Malmo boss Henrik Rydstrom and St Pauli coach Fabian Hurzeler are among the contenders to be the next Brighton manager, with the club set to make a decision at some point next week."
Prince Harry can appeal against UK security ruling,Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.
, 
Huge cricket upset wakes US from 100-year 'hibernation',
